# width: 200
# set_dx: 0.01
# set_courant: 0.5
# set_time: 100
k,Hy,Ez,mu_r,eps_r,sigma_m,sigma_e,ch1,ch2,ce1,ce2
57,0.00025477441756567175,0.087813877231554191,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
58,0.00035949232995647056,0.12453387999066372,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
59,0.00049377521534239616,0.17232928782382473,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
60,0.00065752296476660819,0.23124098381890901,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
61,0.00085199367888180364,0.30152824895855762,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
62,0.0010781345487646903,0.38378618950476523,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
63,0.0013298526267727943,0.47659292671896092,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
64,0.0015940490386817672,0.57544835821535156,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
65,0.0018585132865294475,0.67541855008100404,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
66,0.0021114378720143807,0.77230364809147956,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
67,0.00233398678907343,0.85979310825408595,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
68,0.0025067776030901507,0.93010194238184729,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
69,0.0026197777848442944,0.97853525613618697,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
70,0.0026642709930774023,1.0021471578383272,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
71,0.0026318825143214074,0.99729816227622492,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
72,0.0025277663058262153,0.96440423860682034,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
73,0.0023621421273366419,0.90755355354765666,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
74,0.0021432226237750366,0.82967050903769612,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
75,0.0018903210325969355,0.7367318428806402,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
76,0.0016221189345714167,0.63672083796194412,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
77,0.001350380792388832,0.53414906335650225,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
78,0.0010937860538965849,0.43539035771697249,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
79,0.00086149473726937714,0.34557721944358399,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
80,0.00065754393166190367,0.26572018870558173,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
81,0.0004899447677877061,0.19909899447512283,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
82,0.0003533789330831799,0.14500143674750007,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
83,0.00024791937376711213,0.10214390319288802,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
84,0.0001701259152564789,0.070697869729622956,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
85,0.00011168854802323276,0.046841335955861076,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
86,7.3274745924851797e-05,0.030659102636543541,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
87,4.5079163281915319e-05,0.019372001744845997,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
88,2.7979388914704699e-05,0.011705263577876216,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
89,1.662634451171767e-05,0.0073425477749295837,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
90,9.1728701218086871e-06,0.003847780470053967,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
91,5.914490297983621e-06,0.0026173107826544207,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
92,2.2667815677139952e-06,0.0010321599044101177,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
93,2.2933553453499297e-06,0.00090470792580116602,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
94,6.5755421644346685e-08,0.00019301499678724533,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
95,1.1457398419222396e-06,0.00030490789130386219,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
96,-5.0889733279229775e-07,1.0141021287504335e-05,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
97,7.807024427950218e-07,9.1658471102252392e-05,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
98,-6.1608149758414359e-07,-3.1971863632806866e-06,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
99,6.6984217509488052e-07,1.8914562534391006e-05,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
100,-6.6984217509488052e-07,-3.8694101229800288e-07,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
101,6.1608149758414359e-07,1.8914562534391006e-05,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
102,-7.807024427950218e-07,-3.1971863632806866e-06,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
103,5.0889733279229775e-07,9.1658471102252392e-05,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
104,-1.1457398419222396e-06,1.0141021287504335e-05,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
105,-6.5755421644346685e-08,0.00030490789130386219,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
106,-2.2933553453499297e-06,0.00019301499678724533,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
107,-2.2667815677139952e-06,0.00090470792580116602,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
108,-5.914490297983621e-06,0.0010321599044101177,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
109,-9.1728701218086871e-06,0.0026173107826544207,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
110,-1.662634451171767e-05,0.003847780470053967,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
111,-2.7979388914704699e-05,0.0073425477749295837,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
112,-4.5079163281915319e-05,0.011705263577876216,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
113,-7.3274745924851797e-05,0.019372001744845997,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
114,-0.00011168854802323276,0.030659102636543541,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
115,-0.0001701259152564789,0.046841335955861076,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
116,-0.00024791937376711213,0.070697869729622956,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
117,-0.0003533789330831799,0.10214390319288802,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
118,-0.0004899447677877061,0.14500143674750007,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
119,-0.00065754393166190367,0.19909899447512283,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
120,-0.00086149473726937714,0.26572018870558173,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
121,-0.0010937860538965849,0.34557721944358399,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
122,-0.001350380792388832,0.43539035771697249,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
123,-0.0016221189345714167,0.53414906335650225,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
124,-0.0018903210325969355,0.63672083796194412,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
125,-0.0021432226237750366,0.7367318428806402,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
126,-0.0023621421273366419,0.82967050903769612,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
127,-0.0025277663058262153,0.90755355354765666,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
128,-0.0026318825143214074,0.96440423860682034,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
129,-0.0026642709930774023,0.99729816227622492,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
130,-0.0026197777848442944,1.0021471578383272,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
131,-0.0025067776030901507,0.97853525613618697,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
132,-0.00233398678907343,0.93010194238184729,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
133,-0.0021114378720143807,0.85979310825408595,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
134,-0.0018585132865294475,0.77230364809147956,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
135,-0.0015940490386817672,0.67541855008100404,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
